time (sec), y-accel
0.000446081161499,-0.00098876953125, -0.02592
0.00261306762695,-0.00086669921875, 0.00208
0.00468993186951,0.00267333984375, 0.01008
0.00675201416016,0.00364990234375, 0.02208
0.00882005691528,0.00499267578125, 0.01408
0.0109541416168,0.00340576171875, 0.01008
0.0130021572113,0.00059814453125, 0.02208
0.0150539875031,0.00242919921875, 0.00208
0.0170941352844,0.00377197265625, -0.00192
0.019159078598,0.00035400390625, 0.00608
0.0212199687958,-0.00037841796875, 0.00208
0.0232961177826,0.00267333984375, 0.01408
0.025356054306,0.00181884765625, 0.04208
0.0274269580841,0.00194091796875, 0.03408
0.0294880867004,-0.00074462890625, 0.02608
0.0315489768982,0.00340576171875, 0.04208
0.033595085144,0.00072021484375, 0.02208
0.0356619358063,-0.00123291015625, -0.00192
0.0377111434937,-0.00196533203125, -0.00192
0.0397591590881,0.00010986328125, -0.01792
0.0418310165405,-0.00062255859375, -0.01792
0.04390001297,0.00035400390625, 0.00608
0.0459871292114,0.00120849609375, -0.00192
0.0480561256409,0.00242919921875, -0.00192
0.0501689910889,0.00120849609375, -0.00592
0.052227973938,-0.00123291015625, 0.01008
0.0542960166931,0.00023193359375, 0.01808
0.0563530921936,0.00096435546875, -0.00992
0.058424949646,-0.00233154296875, -0.00992
0.0604910850525,-0.00050048828125, -0.00992
0.0625600814819,-0.00159912109375, -0.02192
0.0646159648895,0.00157470703125, -0.01792
0.0666949748993,-0.00050048828125, 0.01008
0.0687561035156,0.00157470703125, -0.01392
0.0708210468292,-0.00086669921875, -0.02192
0.0728800296783,-0.00025634765625, 0.03008
0.0749471187592,-0.00159912109375, 0.01408
0.0770089626312,0.00145263671875, -0.00592
0.0790750980377,0.00157470703125, 0.03008
0.0811419487,-0.00050048828125, 0.01808
0.0832180976868,-0.00159912109375, -0.02992
0.0852861404419,-0.00355224609375, -0.02192
0.0873439311981,-0.00257568359375, 0.01808
0.0894100666046,0.00206298828125, 0.01808
0.0914781093597,-0.00147705078125, 0.06208
0.0935471057892,-0.00111083984375, 0.05408
0.0956020355225,-0.00123291015625, 0.00608
0.0976841449738,0.00133056640625, -0.02192
0.0997490882874,0.00023193359375, -0.00592
0.10181593895,-0.00135498046875, 0.01008
0.103873968124,-0.00037841796875, -0.00592
0.105941057205,0.00108642578125, -0.00592
0.108003139496,-0.00062255859375, -0.01792
0.110069990158,0.00047607421875, -0.02992
0.112133026123,-0.00025634765625, -0.01792
0.114211082458,-0.00355224609375, -0.00192
0.116279125214,-0.00465087890625, 0.03808
0.118335962296,-0.00367431640625, 0.01408
0.120458126068,-0.00306396484375, -0.00192
0.122540950775,0.00133056640625, -0.00592
0.12459897995,0.00316162109375, -0.02592
0.126667022705,0.00084228515625, -0.02592
0.128721952438,0.00010986328125, -0.00192
0.130794048309,-0.00013427734375, 0.03408
0.132852077484,0.00084228515625, 0.05408
0.134918928146,0.00133056640625, 0.04208
0.136974096298,-0.00111083984375, 0.01808
0.139054059982,-0.00098876953125, -0.00592
0.141111135483,-0.00123291015625, 0.00608
0.143175125122,-0.00086669921875, -0.00992
0.145235061646,0.00072021484375, 0.00208
0.147302150726,-0.00074462890625, 0.01808
0.14936208725,0.00096435546875, -0.02192
0.151462078094,-0.00159912109375, -0.01792
0.153538942337,-0.00416259765625, 0.00208
0.155596017838,-0.00379638671875, 0.02608
0.157662153244,0.00010986328125, 0.03808
0.159718990326,0.00169677734375, -0.00592
0.161791086197,-0.00037841796875, -0.00192
0.163845062256,0.00328369140625, -0.00192
0.165910005569,0.00352783203125, -0.05392
0.167968988419,0.00059814453125, 0.02608
0.170047044754,0.00059814453125, -0.00192
0.172105073929,-0.00086669921875, 0.03008
0.174206972122,-0.00343017578125, 0.05008
0.176337003708,-0.00245361328125, -0.00992
0.178411006927,0.00108642578125, -0.00192
0.180474042892,0.00218505859375, -0.00192
0.182538032532,-0.00208740234375, 0.00608
0.184594154358,-0.00343017578125, -0.02192
0.186672925949,-0.00050048828125, -0.01392
0.188728094101,0.00242919921875, 0.04608
0.19079709053,0.00096435546875, -0.00592
0.192855119705,-0.00025634765625, 0.01408
0.194922924042,-0.00159912109375, 0.04208
0.196983098984,-0.00159912109375, 0.01808
0.199047088623,0.00267333984375, -0.02192
0.201250076294,0.00352783203125, -0.02192
0.203320980072,0.00352783203125, -0.00592
0.205378055573,0.00096435546875, -0.00992
0.207445144653,0.00084228515625, 0.02208
0.209501981735,-0.00147705078125, 0.03808
0.211578130722,0.00145263671875, 0.04208
0.213637113571,0.00255126953125, 0.00608
0.215703010559,0.00108642578125, -0.03792
0.217767953873,0.00328369140625, -0.00592
0.219830989838,0.00609130859375, -0.02592
0.22197508812,0.00120849609375, -0.02192
0.224045038223,0.00328369140625, -0.02192
0.226099967957,0.00169677734375, -0.01392
0.228165149689,0.00059814453125, 0.00208
0.230219125748,-0.00208740234375, 0.01408
0.232284069061,-0.00294189453125, 0.04208
0.234341144562,-1.220703125e-05, 0.03008
0.236413955688,0.00169677734375, 0.01008
0.23846912384,-0.00086669921875, -0.00592
0.240535020828,-0.00062255859375, -0.00192
0.242603063583,0.00108642578125, 0.00608
0.244668960571,0.00230712890625, -0.01792
0.246721982956,0.00340576171875, 0.00208
0.24878692627,0.00157470703125, -0.01392
0.250949144363,-0.00257568359375, -0.02192
0.253009080887,-0.00355224609375, 0.01808
